date, tweet
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D1
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D2
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D3
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D4
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D5
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D6
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D7
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D8
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D9
2018-01-01,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE D10
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D1
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D2
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D3
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D4
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D5
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D6
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D7
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D8
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D9
2018-01-02,ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D10
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D1
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D2
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D3
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D4
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D5
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D6
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D7
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D8
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D9
2018-01-03,ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE D10
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D1
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D2
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D3
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D4
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D5
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D6
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D7
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D8
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D9
2018-01-04,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE D10
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D1
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D2
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D3
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D4
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D5
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D6
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D7
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D8
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D9
2018-01-05,ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE EEE EEE EEE EEE D10
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D1
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D2
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D3
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D4
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D5
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D6
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D7
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D8
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D9
2018-01-06,ABC ABC ABC ABC ABC ABC ABC ABC ABC ABC DDD1 DDD2 DDD3 EEE EEE EEE EEE EEE EEE D10
2018-01-07,ABC DD1 DD2 DD3 EEE D1
2018-01-07,ABC DD1 DD2 DD3 EEE D2
2018-01-07,ABC DD1 DD2 DD3 EEE D3
2018-01-07,ABC DD1 DD2 DD3 EEE D4
2018-01-07,ABC DD1 DD2 DD3 EEE D5
2018-01-07,ABC DD1 DD2 DD3 EEE D6
2018-01-07,ABC DD1 DD2 DD3 EEE D7
2018-01-07,ABC DD1 DD2 DD3 EEE D8
2018-01-07,ABC DD1 DD2 DD3 EEE D9
2018-01-07,ABC DD1 DD2 DD3 EEE D10
